Reference, Value, Footprint, Datasheet
P6,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
P8,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
P7,CONN_01X08,my_foots:HT396_8,
F1,FUSE,Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_universal_Type-III,
C12,470 uF,Capacitors_ThroughHole:C_Radial_D10_L16_P5,
U3,UCC27524,Housings_DIP:DIP-8_W7.62mm_LongPads,
U4,UCC27524,Housings_DIP:DIP-8_W7.62mm_LongPads,
C9,300nF,Capacitors_SMD:C_1812_HandSoldering,
C10,300nF,Capacitors_SMD:C_1812_HandSoldering,
R2,47R,Resistors_ThroughHole:Resistor_Vertical_RM5mm,
R1,47R,Resistors_ThroughHole:Resistor_Vertical_RM5mm,
R5,47R,Resistors_ThroughHole:Resistor_Vertical_RM5mm,
R14,47R,Resistors_ThroughHole:Resistor_Vertical_RM5mm,
C1,330n,Capacitors_SMD:C_0805_HandSoldering,
C3,100n,Capacitors_SMD:C_0805_HandSoldering,
P1,CONN_01X04,my_foots:HT396_4,
C2,330n,Capacitors_SMD:C_0805_HandSoldering,
P9,CONN_01X08,my_foots:HT396_8,
F2,FUSE,Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_universal_Type-III,
C14,470 uF,Capacitors_ThroughHole:C_Radial_D10_L16_P5,
P10,CONN_01X08,my_foots:HT396_8,
F3,FUSE,Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_universal_Type-III,
C15,470 uF,Capacitors_ThroughHole:C_Radial_D10_L16_P5,
U6,PCF8574,Housings_SOIC:SOIC-16_7.5x10.3mm_Pitch1.27mm,
C13,100n,Capacitors_SMD:C_0805_HandSoldering,
P2,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
C5,100n,Capacitors_ThroughHole:C_Disc_D12_P7.75,
P3,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
C6,100n,Capacitors_ThroughHole:C_Disc_D12_P7.75,
P4,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
C7,100n,Capacitors_ThroughHole:C_Disc_D12_P7.75,
P5,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
C8,100n,Capacitors_ThroughHole:C_Disc_D12_P7.75,
R6,30k,Resistors_SMD:R_0805_HandSoldering,
R7,30k,Resistors_SMD:R_0805_HandSoldering,
